id,bbox
67849755,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""11088"",
      ""y"": ""10677"",
      ""z"": ""768""
    },
    ""size"": {
      ""x"": ""34"",
      ""y"": ""39"",
      ""z"": ""13""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
121069614,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""8921"",
      ""y"": ""13548"",
      ""z"": ""1029""
    },
    ""size"": {
      ""x"": ""71"",
      ""y"": ""154"",
      ""z"": ""42""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
116135661,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""10787"",
      ""y"": ""11030"",
      ""z"": ""1030""
    },
    ""size"": {
      ""x"": ""195"",
      ""y"": ""207"",
      ""z"": ""116""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
122720284,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""8516"",
      ""y"": ""14731"",
      ""z"": ""1266""
    },
    ""size"": {
      ""x"": ""270"",
      ""y"": ""210"",
      ""z"": ""96""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
216038239,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""9928"",
      ""y"": ""13725"",
      ""z"": ""1799""
    },
    ""size"": {
      ""x"": ""27"",
      ""y"": ""27"",
      ""z"": ""11""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
312582297,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""8084"",
      ""y"": ""14834"",
      ""z"": ""3068""
    },
    ""size"": {
      ""x"": ""39"",
      ""y"": ""38"",
      ""z"": ""19""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
212770423,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""11370"",
      ""y"": ""11982"",
      ""z"": ""2022""
    },
    ""size"": {
      ""x"": ""240"",
      ""y"": ""88"",
      ""z"": ""95""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
115271755,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""9908"",
      ""y"": ""10755"",
      ""z"": ""1293""
    },
    ""size"": {
      ""x"": ""50"",
      ""y"": ""49"",
      ""z"": ""26""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
115318525,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""11296"",
      ""y"": ""10870"",
      ""z"": ""1013""
    },
    ""size"": {
      ""x"": ""40"",
      ""y"": ""62"",
      ""z"": ""26""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
74434375,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""9077"",
      ""y"": ""14089"",
      ""z"": ""790""
    },
    ""size"": {
      ""x"": ""114"",
      ""y"": ""122"",
      ""z"": ""309""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
216886904,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""10420"",
      ""y"": ""14371"",
      ""z"": ""1806""
    },
    ""size"": {
      ""x"": ""84"",
      ""y"": ""60"",
      ""z"": ""22""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
166967970,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""11793"",
      ""y"": ""12791"",
      ""z"": ""1557""
    },
    ""size"": {
      ""x"": ""72"",
      ""y"": ""76"",
      ""z"": ""31""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
114439052,"{
  ""bbox"": {
    ""start"": {
      ""x"": ""10028"",
      ""y"": ""10274"",
      ""z"": ""1302""
    },
    ""size"": {
      ""x"": ""43"",
      ""y"": ""55"",
      ""z"": ""21""
    },
    ""description"": null,
    ""object_label"": null
  }
}"
