id,x,y,z,x_1,y_1,z_1
116984326,11315,11368,1028,40,16,15
166056496,9297,12240,1780,44,25,18
120252491,9360,13494,1030,15,44,19
171037175,8856,15263,1546,51,29,21
215268150,11459,13141,1802,62,68,34
67866425,11399,10787,851,231,180,244
120236432,9039,13433,1039,71,56,26
118618228,10341,12440,1303,72,63,40
115287141,10335,10822,1048,86,58,27
116135758,10701,11076,1051,30,39,22
116151641,10549,11154,1047,496,674,119
74434432,9115,14116,799,45,38,22
163573528,9641,11024,1567,45,50,31
212770654,11422,12058,2087,51,35,29
68699686,11669,10932,812,37,30,27
67016319,10936,10378,557,506,552,220
115288342,10183,10496,1341,38,25,15
67834304,10640,10869,832,42,63,22
72768769,9140,13276,833,28,26,11
215252639,11364,13323,1857,4,1,4
67850139,11037,10537,837,50,51,38
212770740,11567,12172,2126,29,16,17
118666898,11766,12250,1328,72,93,51
261056102,10985,12244,2378,53,31,19
120252929,9284,13438,1110,53,24,12
212770772,11412,12180,2140,29,42,15
67834526,10617,10699,863,47,41,29
116152077,11100,11250,1123,54,34,48
217720006,10211,14431,1889,138,48,15
212770188,11376,12078,1891,26,43,35
405807512,6655,13571,3939,34,26,17
260223213,10932,12124,2406,20,29,16
121102063,9755,13778,1129,78,54,37
121086197,7277,13894,1129,2347,1219,854
114470469,10913,10291,1131,38,47,34
260223244,10968,12127,2413,46,41,41
163588375,10221,11321,1390,33,22,9
68700159,11500,11239,879,38,34,21
212754237,11317,12108,1903,48,45,20
260223265,11049,12215,2415,39,17,15
68700176,11368,10993,883,22,35,16
261056187,11006,12240,2423,16,5,7
260207627,10794,12129,2425,20,14,22
260223276,11116,12216,2417,62,55,22
260207634,10853,12034,2427,76,53,31
260223366,11074,12031,2431,54,42,28
114470625,10909,10112,1152,23,29,13
260223381,11336,12223,2433,42,25,25
164436918,10711,11536,1410,23,30,15
116985149,10963,11421,1160,87,147,77
260223410,11315,11903,2441,66,90,36
260207702,10867,12055,2446,60,69,20
260223452,11076,11909,2449,45,52,30
260207722,10744,12186,2450,56,31,23
212754344,10932,12142,1941,30,36,17
115318002,10988,10520,925,223,240,72
216872311,9704,14191,1932,77,132,31
212754399,11042,12191,1953,41,29,19
170203976,8784,14463,1442,55,49,31
119356862,7670,13046,1187,36,39,25
260239103,11394,12092,2467,34,52,20
116985304,10984,11447,1192,21,32,17
212754423,11010,12196,1960,25,33,18
167800155,11530,13440,1705,23,28,28
115302288,10727,10614,934,35,39,17
212754436,11180,12059,1963,26,26,21
116150925,11159,11217,947,82,104,42
212739036,10908,12141,1971,30,29,16
115318144,11057,10719,954,18,16,17
164405385,9998,11440,1467,42,37,12
166968983,11433,13067,1724,122,97,68
170188633,8660,14516,1467,75,35,26
261040462,10829,12332,2501,61,85,42
216039505,9684,13851,1925,184,394,73
162755879,10407,10930,1482,4,2,4
115287988,10418,10496,1231,1,6,1
68667174,9788,10645,842,1402,629,751
167784943,11333,13314,1749,66,50,26
67849620,11364,10693,726,39,29,18
260223603,10932,12076,2522,30,24,15
115333699,11411,10728,965,65,84,42
115333763,11397,10638,991,40,88,27
261056366,11173,12381,2528,13,31,19
167800297,11384,13400,1761,18,39,21
119327052,6942,13098,1250,63,68,28
168603210,10581,13873,1764,51,51,10
166086695,10357,12559,1510,52,80,34
116135488,10654,11202,999,128,130,80
67865986,11374,10823,747,33,33,10
115318545,11047,10881,1016,22,34,35
212708623,9830,12193,2041,30,27,14
167800331,11647,13246,1789,24,60,3
116136107,10631,11367,1115,3,1,2
67833891,10626,10744,770,48,26,22
115288165,10211,10645,1280,60,27,16
455002582,8471,14641,4083,149,80,153
312582146,8060,14822,3053,82,34,43
216902546,10556,14253,1804,36,32,20
115318637,11366,10842,1009,85,115,38
118539713,8285,12481,1018,198,149,189
115271766,9864,10766,1296,185,550,208
120252563,9295,13540,1042,7,8,6
216871387,10047,14004,1821,72,27,12
67016250,11066,10399,543,173,145,57
216887038,10365,14349,1824,44,30,12
162725147,9193,10688,1553,215,165,46
115318827,11010,10837,1068,62,44,13
116151805,11259,11248,1073,32,36,24
116151797,11191,11260,1072,69,59,47
213556018,10367,12337,1846,92,97,15
168601948,10868,13561,1592,52,40,30
72768748,9142,13278,830,343,156,62
68667097,10662,10950,830,108,123,132
71087585,8698,12566,740,196,254,169
115287347,10328,10574,1090,75,75,52
261873193,10801,12690,2371,21,31,13
260207455,10796,12159,2374,108,88,51
161922510,10228,10370,1356,162,126,62
162755256,10185,10496,1356,11,9,1
163651138,11991,11367,1356,38,11,16
67866435,11448,10815,853,74,61,37
115303394,10747,10817,1114,64,75,44
116136099,10809,10983,1114,52,40,9
261056126,10961,12240,2395,6,1,2
170156472,7838,14604,1372,42,49,23
404974777,6747,13256,3931,33,52,31
162818463,12198,10711,1375,42,38,22
66924261,8690,10086,866,62,21,15
260223214,10932,12134,2406,12,30,17
260223220,11234,11984,2408,17,28,11
260223224,11035,12163,2409,47,57,28
118650642,11099,12556,1131,64,59,36
260207584,10712,12196,2411,44,18,12
68651066,10331,10953,877,165,223,143
260223317,10932,12066,2424,40,32,17
114470586,10923,10223,1145,30,48,14
260223330,11196,11972,2426,33,28,19
260223373,11124,12088,2432,31,32,13
114470641,10882,10347,1154,28,17,20
67016575,10936,10496,646,72,64,52
166966885,11637,12965,1416,65,29,15
260223411,11134,11892,2441,43,63,22
67834788,10521,10830,906,59,48,37
260223455,10936,12174,2449,15,35,14
260207721,10791,12110,2449,183,154,39
117000438,11422,11698,1170,88,69,32
116985221,11030,11424,1171,44,44,33
67818191,10342,10806,917,94,57,36
260239071,11373,12187,2454,31,25,11
67865528,11410,10819,669,41,32,12
114454997,10267,10449,1183,24,36,16
260223497,11336,12197,2463,32,37,18
117000565,11439,11705,1187,41,30,19
114470773,10687,10205,1183,256,138,140
212754440,11068,12171,1964,59,53,22
166951831,11052,12798,1710,92,79,20
117785945,10477,12058,1199,48,40,21
